WebsiteAccessCategoryID,CategoryName,Description,AccessLevel,FeaturesIncluded,SubscriptionCost,ActivationDate,ExpirationDate,TermsAndConditions,RenewalNoticePeriod,,
1,Basic,Access to core product information and support,basic,"Product specs, FAQ, basic support",$0.00 ,1/1/2023,12/31/2024,"Terms apply, no contract",30 days,,
2,Standard,Expanded access to product details and community forums,standard,"Advanced product info, community forums, email support",$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
3,Premium,Full access to premium content and personalized support,premium,"Premium content, live chat support, expedited shipping",$9.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
4,Enterprise,Tailored solutions for business customers,enterprise,"Dedicated account manager, customized integrations, priority support",$99/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",120 days,,
5,Student,Discounted access for students and educators,student,"Standard features, 50% discount",$2.49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
6,Loyalty,Elevated benefits for long-term customers,loyalty,"Premium features, early access, exclusive promos",$7.99/month,1/1/2023,12/31/2024,"Terms apply, no contract",90 days,,
7,Trial,Limited-time access to test premium features,trial,"Premium features, 30-day trial period",$0.00 ,1/1/2023,1/30/2023,"Terms apply, no auto-renewal",N/A,,
8,Family,Shared access for multiple household members,family,"Standard features, up to 5 user accounts",$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
9,Accessibility,Enhanced features for users with disabilities,accessibility,"Assistive technology integrations, customizable UI",$7.99/month,1/1/2023,12/31/2024,"Terms apply, no contract",60 days,,
10,Developer,Resources and tools for application developers,developer,"API access, SDK, early feature releases",$49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",120 days,,
11,Veteran,Discounted access for active/retired military personnel,veteran,"Standard features, 25% discount",$3.74/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
12,Senior,Discounted access for customers aged 65+,senior,"Standard features, 30% discount",$3.49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
13,Pro,Advanced features and tools for power users,pro,"Premium features, data exports, custom dashboards",$14.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
14,Business,Tailored solutions for small and medium enterprises,business,"Enterprise features, dedicated support, custom integrations",$99/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",120 days,,
15,Non-Profit,Discounted access for registered non-profit organizations,non-profit,"Standard features, 40% discount",$2.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
16,Referral,Rewards for referring new customers,referral,"Standard features, refer-a-friend bonus",$0.00 ,1/1/2023,12/31/2024,"Terms apply, no contract",N/A,,
17,Education,Discounted access for schools and educational institutions,education,"Standard features, 35% discount for qualified accounts",$3.24/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
18,Government,Tailored solutions for government agencies and public sector,government,"Enterprise features, specialized support, security compliance",$149/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",120 days,,
19,Affiliate,Rewards for promoting and selling the product,affiliate,"Standard features, commission-based earnings",$0.00 ,1/1/2023,12/31/2024,"Terms apply, no contract",N/A,,
20,Corporate,Discounted access for employees of partner companies,corporate,"Standard features, 20% discount for eligible employees",$3.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
21,Reseller,Discounted bulk access for authorized resellers,reseller,"Wholesale pricing, dedicated account support",$49/month,1/1/2023,12/31/2024,"Custom terms, 12 month contract",120 days,,
22,Influencer,Promotional access for social media influencers,influencer,"Premium features, co-marketing opportunities",$0.00 ,1/1/2023,12/31/2024,"Terms apply, no contract",N/A,,
23,International,Localized access for customers outside the primary market,international,"Standard features, localized content and support",$5.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
24,Promotional,Time-limited access for marketing campaigns,promotional,"Premium features, customized branding",$0.00 ,1/1/2023,6/30/2023,"Terms apply, no auto-renewal",N/A,,
25,Subscription,Recurring access with automatic renewal,subscription,"Standard features, automatic renewal",$4.99/month,1/1/2023,12/31/2024,"Terms apply, auto-renew",90 days,,
26,Lifetime,Perpetual access with one-time payment,lifetime,"Premium features, no expiration",$99.99 ,1/1/2023,12/31/2099,"Terms apply, no renewal",N/A,,
27,Bundle,Discounted access when purchased with other products,bundle,"Bundled features, 15% discount",$8.49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
28,Charity,Discounted access for registered charitable organizations,charity,"Standard features, 45% discount",$2.74/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
29,Seasonal,Time-limited access for seasonal events or promotions,seasonal,"Premium features, limited-time availability",$0.00 ,6/1/2023,9/1/2023,"Terms apply, no auto-renewal",N/A,,
30,Community,Discounted access for active community members,community,"Standard features, 10% discount for eligible users",$4.49/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
31,Gaming,Specialized access for gaming enthusiasts,gaming,"Gaming-focused features, exclusive content",$7.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",90 days,,
32,VIP,Exclusive access for high-value customers,vip,"Premium features, dedicated concierge service",$19.99/month,1/1/2023,12/31/2024,"Custom terms, 12 month contract",120 days,,
33,Student Plus,Enhanced features for students and educators,student-plus,Student features plus free software/hardware,$4.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
34,Retired,Discounted access for retirees and seniors,retired,"Standard features, 40% discount",$2.99/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
35,Partner,Discounted access for customers of partner brands,partner,"Standard features, 25% discount",$3.74/month,1/1/2023,12/31/2024,"Terms apply, 12 month contract",60 days,,
