ProductID,ProductName,Description,Brand,Manufacturer,CategoryID,UnitCost,UnitPrice,LaunchDate,WarrantyPeriod,ProductGroupID
5678,iPhone 13 Pro,"Flagship smartphone with advanced camera, powerful performance, and impressive battery life.",Apple,Apple Inc.,1001,699.99,999.99,9/24/2021,12,4
6789,Samsung Galaxy S21 Ultra,"Cutting-edge Android smartphone with a stunning display, powerful camera, and 5G connectivity.",Samsung,Samsung Electronics,1001,799.99,1199.99,1/29/2021,12,4
7890,Google Pixel 6 Pro,"Flagship Android smartphone with a sleek design, excellent camera, and advanced AI features.",Google,Google LLC,1001,699.99,899.99,10/19/2021,12,3
8901,OnePlus 9 Pro,"Premium flagship smartphone with a stunning display, fast charging, and a versatile camera system.",OnePlus,OnePlus Technology,1001,699.99,1099.99,3/23/2021,12,4
9012,Oppo Find X3 Pro,"Flagship Android smartphone with a unique camera setup, advanced display, and 5G connectivity.",Oppo,Oppo Electronics,1001,799.99,1199.99,3/31/2021,12,5
123,Xiaomi Mi 11 Ultra,"Flagship Android smartphone with a powerful camera setup, flagship performance, and advanced features.",Xiaomi,Xiaomi Inc.,1001,699.99,1099.99,4/23/2021,12,6
1234,Sony Xperia 1 III,"Premium flagship smartphone with a 4K OLED display, advanced camera system, and 5G support.",Sony,Sony Corporation,1001,899.99,1299.99,6/11/2021,12,7
2345,Samsung Galaxy Z Fold3 5G,"Innovative foldable smartphone with a large, flexible display and advanced multitasking capabilities.",Samsung,Samsung Electronics,1001,1499.99,1799.99,8/27/2021,12,8
3456,iPhone 12 Pro Max,"Flagship smartphone with a stunning camera system, powerful performance, and 5G connectivity.",Apple,Apple Inc.,1001,999.99,1099.99,11/13/2020,12,9
4567,Google Pixel 5,"Flagship Android smartphone with a clean design, excellent camera, and 5G support.",Google,Google LLC,1001,599.99,699.99,10/15/2020,12,5
2468,OnePlus 8T,"Premium flagship smartphone with a smooth display, fast charging, and advanced camera features.",OnePlus,OnePlus Technology,1001,599.99,699.99,10/14/2020,12,4
3579,Oppo Find X2 Pro,"Flagship Android smartphone with a stunning display, powerful camera system, and 5G connectivity.",Oppo,Oppo Electronics,1001,799.99,999.99,4/16/2020,12,5
4680,Xiaomi Mi 10 Pro,"Flagship Android smartphone with a versatile camera setup, flagship performance, and advanced features.",Xiaomi,Xiaomi Inc.,1001,699.99,899.99,2/13/2020,12,3
5791,Sony Xperia 5 II,"Premium flagship smartphone with a compact design, advanced camera system, and 5G support.",Sony,Sony Corporation,1001,799.99,999.99,9/17/2020,12,4
